Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Personal Fouls,Points,Rank,Year
Bismack Biyombo,C,26,CHO,54,14.5,1.6,,0.0,0.0,1.6,2.9,1.1,1.7,1.9,4.4,51,2019
Nemanja Bjelica,PF,30,SAC,77,23.2,3.7,,1.3,3.3,2.4,4.4,0.9,1.2,2.6,9.6,52,2019
Antonio Blakeney,SG,22,CHI,57,14.5,2.9,6.9,0.6,,2.3,5.4,0.9,1.3,0.7,7.3,53,2019
Eric Bledsoe,PG,29,MIL,78,29.1,6.0,,1.6,4.8,4.4,7.6,2.3,3.0,2.0,15.9,54,2019
Jaron Blossomgame,SF,25,CLE,27,16.3,1.7,,0.4,1.4,,2.5,0.4,0.5,0.7,4.2,55,2019
Bogdan Bogdanović,SG,26,SAC,70,27.8,5.2,,1.9,,3.2,7.0,1.9,2.3,2.0,14.1,56,2019
Bojan Bogdanović,SF,29,IND,81,31.8,6.4,,2.0,4.8,4.4,8.2,3.0,3.8,1.7,18.0,57,2019
Andrew Bogut,C,34,GSW,11,12.2,1.6,,0.0,0.0,,3.3,0.3,0.3,2.0,3.5,58,2019
Jonah Bolden,PF,23,PHI,44,14.5,1.8,3.7,0.8,2.2,1.0,1.5,0.3,0.6,2.3,4.7,59,2019
Isaac Bonga,PG,19,LAL,22,5.5,0.2,1.5,0.0,0.4,,1.1,0.4,0.7,0.4,0.9,60,2019
Devin Booker,SG,22,PHO,64,35.0,9.2,19.6,2.1,,7.0,13.1,6.1,7.1,3.1,26.6,61,2019
Chris Boucher,PF,26,TOR,28,5.8,1.2,,0.4,1.3,,1.4,0.5,0.5,1.1,3.3,62,2019
Avery Bradley,SG,28,TOT,63,30.2,3.9,,1.4,,2.6,5.8,0.7,0.8,2.7,9.9,63,2019
Avery Bradley,SG,28,LAC,49,29.9,3.3,,1.2,,2.1,5.1,0.4,0.5,2.7,8.2,63,2019
Avery Bradley,SG,28,MEM,14,31.6,6.2,,2.0,,,8.2,1.6,1.8,2.4,16.1,63,2019
Tony Bradley,C,21,UTA,3,12.0,2.7,5.3,0.0,0.0,,5.3,0.3,0.7,2.0,5.7,64,2019
Corey Brewer,SF,32,TOT,31,15.9,1.7,,0.5,1.4,,2.5,1.0,1.4,2.0,4.9,65,2019
Corey Brewer,SF,32,PHI,7,20.0,2.9,,0.6,2.0,,5.0,1.3,1.9,2.3,7.6,65,2019
Corey Brewer,SF,32,SAC,24,14.7,1.4,,0.4,1.3,,1.8,0.9,1.3,2.0,4.1,65,2019
Mikal Bridges,SF,22,PHO,82,29.5,3.0,6.9,1.3,3.8,1.7,3.0,1.2,1.4,2.5,8.3,66,2019
Miles Bridges,SF,20,CHO,80,21.2,3.0,6.4,0.8,2.5,2.2,3.9,0.7,1.0,1.4,7.5,67,2019
Isaiah Briscoe,PG,22,ORL,39,14.3,1.4,3.5,0.3,0.9,1.1,2.7,0.4,0.7,1.7,3.5,68,2019
Ryan Broekhoff,SG,28,DAL,42,10.8,1.4,,0.9,,0.5,0.8,0.4,0.5,0.8,4.0,69,2019
Malcolm Brogdon,SG,26,MIL,64,28.6,5.9,,1.6,,4.3,7.9,2.2,2.4,1.6,15.6,70,2019
Dillon Brooks,SF,23,MEM,18,18.3,2.7,6.8,0.8,2.2,,4.6,1.2,1.7,2.8,7.5,71,2019
MarShon Brooks,SG,30,MEM,29,13.3,2.6,,0.5,,,4.0,0.8,1.1,1.1,6.6,72,2019
Bruce Brown,SG,22,DET,74,19.6,1.7,4.2,0.3,,1.4,3.0,0.6,0.8,2.4,4.3,73,2019
Jaylen Brown,SG,22,BOS,74,25.9,5.0,10.7,1.3,,3.7,7.0,1.8,2.7,2.5,13.0,74,2019
Lorenzo Brown,PG,28,TOR,26,8.2,0.9,,0.2,1.1,,1.7,0.1,0.1,0.8,2.1,75,2019
Sterling Brown,SG,23,MIL,58,17.8,2.5,5.4,0.9,,1.6,2.8,0.5,0.7,1.5,6.4,76,2019
Troy Brown Jr.,SF,19,WAS,52,14.0,1.9,4.5,0.4,1.3,1.4,3.2,0.6,0.9,1.1,4.8,77,2019
Jalen Brunson,PG,22,DAL,73,21.8,3.6,7.7,0.9,2.5,2.8,5.3,1.2,1.6,1.7,9.3,78,2019
Thomas Bryant,C,21,WAS,72,20.8,4.3,7.0,0.5,1.4,3.8,5.6,1.5,1.9,1.8,10.5,79,2019
Reggie Bullock,SG,27,TOT,63,29.8,3.9,,2.3,,1.5,3.2,1.2,1.3,1.7,11.3,80,2019
Reggie Bullock,SG,27,DET,44,30.8,4.1,,2.6,,1.5,3.3,1.3,1.5,1.8,12.1,80,2019
Reggie Bullock,SG,27,LAL,19,27.6,3.3,,1.8,,,2.8,0.9,1.1,1.6,9.3,80,2019
Trey Burke,PG,26,TOT,58,19.4,4.1,,1.0,2.7,3.1,6.7,1.8,2.1,1.0,10.9,81,2019
Trey Burke,PG,26,NYK,33,20.9,4.5,,0.9,2.6,,8.2,1.9,2.3,1.0,11.8,81,2019
Trey Burke,PG,26,DAL,25,17.4,3.5,,1.0,2.9,,4.7,1.6,2.0,1.0,9.7,81,2019
Alec Burks,SG,27,TOT,64,21.5,3.0,,1.0,,2.0,4.8,1.8,2.2,1.4,8.8,82,2019
Alec Burks,SG,27,UTA,17,15.8,2.8,,0.9,,,4.2,1.9,2.2,1.3,8.4,82,2019
Alec Burks,SG,27,CLE,34,28.8,4.0,,1.3,,,6.5,2.3,2.9,1.8,11.6,82,2019
Alec Burks,SG,27,SAC,13,9.8,0.7,,0.0,,,1.1,0.3,0.4,0.5,1.7,82,2019
Deonte Burton,SG,25,OKC,32,7.5,1.0,,0.3,,,1.7,0.3,0.4,1.0,2.6,83,2019
Jimmy Butler,SF-SG,29,TOT,65,33.6,6.4,,1.0,3.0,5.4,10.9,4.8,5.6,,18.7,84,2019
Jimmy Butler,SG,29,MIN,10,36.1,7.4,,1.7,,,11.2,4.8,6.1,1.8,21.3,84,2019
Jimmy Butler,SF,29,PHI,55,33.2,6.3,,0.9,2.7,5.3,10.9,4.8,5.5,1.7,18.2,84,2019
Bruno Caboclo,PF,23,MEM,34,23.5,2.8,6.6,1.4,3.8,,2.8,1.2,1.5,2.4,8.3,85,2019
José Calderón,PG,37,DET,49,12.9,0.9,,0.3,1.2,0.6,1.3,0.2,0.2,1.3,2.3,86,2019
Kentavious Caldwell-Pope,SG,25,LAL,82,24.8,4.0,,1.8,,2.1,3.9,1.7,1.9,1.7,11.4,87,2019
Isaiah Canaan,PG,27,TOT,30,21.0,2.1,,1.1,3.2,,2.3,0.6,0.8,1.7,6.0,88,2019
Isaiah Canaan,PG,27,PHO,19,26.5,2.7,,1.3,3.8,,3.0,0.8,1.1,2.4,7.5,88,2019
Isaiah Canaan,PG,27,MIN,7,13.6,1.6,,1.0,2.7,,1.4,0.6,0.6,0.6,4.7,88,2019
Isaiah Canaan,PG,27,MIL,4,7.8,0.5,,0.5,1.3,,0.3,0.0,0.0,0.5,1.5,88,2019
Clint Capela,C,24,HOU,67,33.6,7.1,10.9,0.0,0.0,7.1,10.9,2.5,3.9,2.5,16.6,89,2019
DeMarre Carroll,PF,32,BRK,67,25.4,3.4,,1.6,4.6,1.8,4.0,2.7,3.6,1.7,11.1,90,2019
Jevon Carter,PG,23,MEM,39,14.8,1.4,4.7,0.9,2.6,0.6,2.1,0.7,0.8,1.4,4.4,91,2019
Vince Carter,PF,42,ATL,76,17.5,2.6,,1.6,4.2,1.0,2.0,0.6,0.9,1.9,7.4,92,2019
Wendell Carter Jr.,C,19,CHI,44,25.2,4.1,8.4,0.1,0.7,4.0,7.7,2.0,2.5,3.5,10.3,93,2019
Michael Carter-Williams,PG,27,TOT,28,13.3,1.6,,0.4,1.4,,3.0,1.1,1.9,1.7,4.8,94,2019
Michael Carter-Williams,PG,27,HOU,16,9.1,1.6,,0.4,1.2,,2.6,0.8,1.6,1.7,4.3,94,2019
Michael Carter-Williams,PG,27,ORL,12,18.9,1.8,,0.3,1.6,,3.6,1.7,2.3,1.8,5.4,94,2019
